Genome accession,Genus,Species,Strain,Replicon_1,Replicon_2,Replicon_3,Replicon_4,Replicon_5,Replicon_6,Replicon_7,Replicon_8,Replicon_9,Replicon_10,Replicon_11,Replicon_12,Replicon_13,Replicon_14,Replicon_15,Replicon_16,Replicon_17,Replicon_18,Replicon_19,Replicon_20,Replicon_21,Replicon_22,Replicon_23
GCF_022023855.1_ASM2202385v1,Azospirillum,brasilense,2020WEIHUA_K,"68,39","68,1","67,69","68,57","69,01","64,8","66,02","69,09",,,,,,,,,,,,,,,
GCF_000283655.1_ASM28365v1,Azospirillum,lipoferum,4B,"67,61","67,57","67,59","67,82","68,3","67,73","67,08",,,,,,,,,,,,,,,,
GCF_013347285.1_ASM1334728v1,Azospirillum,oryzae,KACC_14407,"67,51","67,31","67,54","67,88","67,8","67,15","67,68","62,81",,,,,,,,,,,,,,,
GCF_003233655.1_ASM323365v1,Azospirillum,ramasamyi,M2T2B2,68,"67,15","68,23","67,96","68,99","68,2","67,86","67,78",,,,,,,,,,,,,,,
GCF_000010725.1_ASM1072v1,Azospirillum,sp.,B510,"67,76","67,64","67,46","67,4","67,97","67,51","65,88",,,,,,,,,,,,,,,,
GCF_003119115.1_ASM311911v1,Azospirillum,sp.,TSH58,69,"69,18","69,5","69,74","69,78","66,59","61,83",,,,,,,,,,,,,,,,
GCF_004923295.1_ASM492329v1,Azospirillum,sp.,TSH100,"67,24","67,19","66,77","67,7","68,45","67,74","67,52","68,16",,,,,,,,,,,,,,,
GCF_004923315.1_ASM492331v1,Azospirillum,sp.,TSA2S,"67,52","66,25","67,36","67,48","68,16","68,11","67,42","63,67","66,85","63,72",,,,,,,,,,,,,
GCF_003130795.1_ASM313079v1,Azospirillum,thermophilum,CFH_70021,"69,93","69,39","69,91","69,9","70,73","70,53","68,41","66,75","68,25",,,,,,,,,,,,,,
GCF_001305595.1_ASM130559v1,Azospirillum,thiophilum,BV-S,"67,98","68,21","68,73","68,98","68,43","67,97","67,26","63,2",,,,,,,,,,,,,,,
GCF_009740005.1_ASM974000v1,Bacillus,albus,DLOU-Yingkou,"35,47","33,06","36,57",,,,,,,,,,,,,,,,,,,,
GCF_001191605.1_ASM119160v1,Bacillus,altitudinis,GR-8,"41,42","36,84",,,,,,,,,,,,,,,,,,,,,
GCF_002443015.2_ASM244301v2,Bacillus,altitudinis,SGAir0031,"41,4","37,5",,,,,,,,,,,,,,,,,,,,,
GCF_005849435.1_ASM584943v1,Bacillus,altitudinis,GQYP101,"41,31","36,99",,,,,,,,,,,,,,,,,,,,,
GCF_006007905.1_ASM600790v1,Bacillus,altitudinis,HQ-51-Ba,"41,38","36,14","36,04",,,,,,,,,,,,,,,,,,,,
GCF_016807685.1_ASM1680768v1,Bacillus,altitudinis,1963-02-02,"41,34","35,49",,,,,,,,,,,,,,,,,,,,,
GCF_024380035.1_ASM2438003v1,Bacillus,altitudinis,B12,"41,5","39,42",,,,,,,,,,,,,,,,,,,,,
GCF_000204275.1_ASM20427v1,Bacillus,amyloliquefaciens,LL3,"45,71","41,95",,,,,,,,,,,,,,,,,,,,,
GCF_001483885.1_ASM148388v1,Bacillus,amyloliquefaciens,MBE1283,"46,53","42,56",,,,,,,,,,,,,,,,,,,,,
GCF_001586105.1_ASM158610v1,Bacillus,amyloliquefaciens,S499,"46,62","40,45",,,,,,,,,,,,,,,,,,,,,
GCF_002173635.1_ASM217363v1,Bacillus,amyloliquefaciens,SRCM101267,"45,94","44,13",,,,,,,,,,,,,,,,,,,,,
GCF_003312895.1_ASM331289v1,Bacillus,amyloliquefaciens,SH-B74,"46,52","40,78",,,,,,,,,,,,,,,,,,,,,
GCF_013341255.1_ASM1334125v1,Bacillus,amyloliquefaciens,R8-25,"46,5","52,58",,,,,,,,,,,,,,,,,,,,,
GCF_014854735.1_ASM1485473v1,Bacillus,amyloliquefaciens,HM618,"46,33","39,7",,,,,,,,,,,,,,,,,,,,,
GCF_017603845.1_ASM1760384v1,Bacillus,amyloliquefaciens,XJ5,"46,09","37,28","40,93",,,,,,,,,,,,,,,,,,,,
GCF_019396925.1_ASM1939692v1,Bacillus,amyloliquefaciens,GKT04,"46,39","41,48",,,,,,,,,,,,,,,,,,,,,
GCF_021233135.1_ASM2123313v1,Bacillus,amyloliquefaciens,LS1-002-014s,"46,13","42,25",,,,,,,,,,,,,,,,,,,,,
GCF_023278425.1_ASM2327842v1,Bacillus,amyloliquefaciens,CQN-2,"46,5","33,5",,,,,,,,,,,,,,,,,,,,,
GCF_000534935.2_ASM53493v2,Bacillus,anthracis,CZC5,"35,37","32,54","33,06",,,,,,,,,,,,,,,,,,,,
GCF_000742655.1_ASM74265v1,Bacillus,anthracis,2000031021,"35,38","33,03",,,,,,,,,,,,,,,,,,,,,
GCF_000832425.1_ASM83242v1,Bacillus,anthracis,PAK-1,"35,37","32,53",,,,,,,,,,,,,,,,,,,,,
GCF_002277915.1_ASM227791v1,Bacillus,anthracis,14RA5914,"35,37","32,56","32,71",,,,,,,,,,,,,,,,,,,,
GCF_003410355.1_ASM341035v1,Bacillus,anthracis,MCCC_1A01412,"35,41","33,96","33,44",,,,,,,,,,,,,,,,,,,,
GCF_009806635.1_ASM980663v1,Bacillus,anthracis,FDAARGOS_700,"35,38","50,05","37,65","29,67","53,66",,,,,,,,,,,,,,,,,,
GCF_009806655.1_ASM980665v1,Bacillus,anthracis,FDAARGOS_706,"35,38","50,23","37,14",,,,,,,,,,,,,,,,,,,,
GCF_009806675.1_ASM980667v1,Bacillus,anthracis,FDAARGOS_705,"35,38","35,77","38,09","52,69",,,,,,,,,,,,,,,,,,,
GCF_023824055.1_ASM2382405v1,Bacillus,anthracis,CMF9,"35,39","33,21","36,57","36,67",,,,,,,,,,,,,,,,,,,
GCF_020002245.1_ASM2000224v1,Bacillus,badius,NBPM-293,"44,18","41,54","34,86","36,42","36,53","38,35","37,73",,,,,,,,,,,,,,,,
GCF_000831065.1_ASM83106v1,Bacillus,bombysepticus,Wang,"35,25","32,01",,,,,,,,,,,,,,,,,,,,,
GCF_023824075.1_ASM2382407v1,Bacillus,bombysepticus,F12,"35,25","31,94","34,58",,,,,,,,,,,,,,,,,,,,
GCF_003595605.1_ASM359560v1,Bacillus,caldolyticus,NEB414,"52,49","45,48",,,,,,,,,,,,,,,,,,,,,
GCF_000011625.1_ASM1162v1,Bacillus,cereus,E33L,"35,35","33,12","31,95","31,01","31,9","30,89",,,,,,,,,,,,,,,,,
GCF_000021225.1_ASM2122v1,Bacillus,cereus,AH187,"35,59","34,16","35,46","31,06","34,91",,,,,,,,,,,,,,,,,,
GCF_000021305.1_ASM2130v1,Bacillus,cereus,G9842,"35,26","30,03","32,9",,,,,,,,,,,,,,,,,,,,
GCF_000021785.1_ASM2178v1,Bacillus,cereus,AH820,"35,4","33,64","33,61","34,94",,,,,,,,,,,,,,,,,,,
GCF_000143605.1_ASM14360v1,Bacillus,cereus,CI,"35,38","32,54","33,09","37,91",,,,,,,,,,,,,,,,,,,
GCF_000239195.1_ASM23919v1,Bacillus,cereus,F837/76,"35,37","36,19","31,08",,,,,,,,,,,,,,,,,,,,
GCF_000283675.1_ASM28367v1,Bacillus,cereus,NC7401,"35,59","34,16","36,54","34,14","34,66","34,91",,,,,,,,,,,,,,,,,
GCF_000292415.1_ASM29241v1,Bacillus,cereus,FRI-35,"35,6","33,41","32,52","30,72","34,91",,,,,,,,,,,,,,,,,,
GCF_000635895.2_ASM63589v2,Bacillus,cereus,A1,"35,28","32,49","34,45","31,13",,,,,,,,,,,,,,,,,,,
GCF_000789315.1_ASM78931v1,Bacillus,cereus,03BB87,"35,29","31,72","36,48",,,,,,,,,,,,,,,,,,,,
GCF_000832525.1_ASM83252v1,Bacillus,cereus,FM1,"35,51","32,56",,,,,,,,,,,,,,,,,,,,,
GCF_000832765.1_ASM83276v1,Bacillus,cereus,3a,"35,45","32,7","36,58","35,71",,,,,,,,,,,,,,,,,,,
GCF_000832805.1_ASM83280v1,Bacillus,cereus,G9241,"35,4","31,72","32,63","36,48",,,,,,,,,,,,,,,,,,,
GCF_000832845.1_ASM83284v1,Bacillus,cereus,ATCC_4342,"35,45","30,75",,,,,,,,,,,,,,,,,,,,,
GCF_001277915.1_ASM127791v1,Bacillus,cereus,NJ-W,"35,22","28,95","29,79","35,71",,,,,,,,,,,,,,,,,,,
GCF_001518875.1_ASM151887v1,Bacillus,cereus,FORC_013,"35,26","32,99",,,,,,,,,,,,,,,,,,,,,
GCF_001635915.1_ASM163591v1,Bacillus,cereus,CMCC_P0021,"35,24","32,23",,,,,,,,,,,,,,,,,,,,,
GCF_001635995.1_ASM163599v1,Bacillus,cereus,HN001,"35,25","32,63","31,44",,,,,,,,,,,,,,,,,,,,
GCF_001880305.1_ASM188030v1,Bacillus,cereus,AR156,"35,48","33,1","30,23","35,25",,,,,,,,,,,,,,,,,,,
GCF_001941885.1_ASM194188v1,Bacillus,cereus,ISSFR-9F,"35,47","32,71",,,,,,,,,,,,,,,,,,,,,
GCF_002000005.1_ASM200000v1,Bacillus,cereus,FORC021,"35,35","36,58",,,,,,,,,,,,,,,,,,,,,
GCF_002214725.1_ASM221472v1,Bacillus,cereus,M3,"35,56","33,73",,,,,,,,,,,,,,,,,,,,,
GCF_002215175.1_ASM221517v1,Bacillus,cereus,K8,"35,28","32,25","34,37",,,,,,,,,,,,,,,,,,,,
GCF_002216125.1_ASM221612v1,Bacillus,cereus,M13,"35,32","34,28","33,52","34,91",,,,,,,,,,,,,,,,,,,
GCF_002220285.1_ASM222028v1,Bacillus,cereus,FORC_047,"35,29","32,43","32,17",,,,,,,,,,,,,,,,,,,,
GCF_002224345.1_ASM222434v1,Bacillus,cereus,C1L,"35,37","32,29","30,16","31,63",,,,,,,,,,,,,,,,,,,
GCF_002290105.1_ASM229010v1,Bacillus,cereus,CC-1,"35,47","33,73","35,38","33,79","33,61",,,,,,,,,,,,,,,,,,
GCF_002813875.1_ASM281387v1,Bacillus,cereus,MLY1,"35,41","34,19","35,15","34,96",,,,,,,,,,,,,,,,,,,
GCF_003013315.1_ASM301331v1,Bacillus,cereus,TG1-6,"35,26","33,44",,,,,,,,,,,,,,,,,,,,,
GCF_003568565.1_ASM356856v1,Bacillus,cereus,HBL-AI,"35,27","32,13",,,,,,,,,,,,,,,,,,,,,
GCF_006349715.2_ASM634971v2,Bacillus,cereus,A22,"35,24","32,84","32,85",,,,,,,,,,,,,,,,,,,,
GCF_006349735.2_ASM634973v2,Bacillus,cereus,A24,"35,33","32,71","28,97",,,,,,,,,,,,,,,,,,,,
GCF_006384875.1_ASM638487v1,Bacillus,cereus,FORC087,"35,27","32,69","33,79","34,3",,,,,,,,,,,,,,,,,,,
GCF_008041975.1_ASM804197v1,Bacillus,cereus,G1-1,"35,35","33,26",,,,,,,,,,,,,,,,,,,,,
GCF_009497015.2_ASM949701v2,Bacillus,cereus,SB1,"35,26","32,42","32,52","29,66","29,58",,,,,,,,,,,,,,,,,,
GCF_009739985.1_ASM973998v1,Bacillus,cereus,DLOU-Weihai,"35,34","33,13",,,,,,,,,,,,,,,,,,,,,
GCF_013177495.2_ASM1317749v2,Bacillus,cereus,CTMA_1571,"35,49","32,86","29,52",,,,,,,,,,,,,,,,,,,,
GCF_013267235.1_ASM1326723v1,Bacillus,cereus,FDAARGOS_802,"35,34","30,77","31,9","32,51","35,46","36,08","31,8","32,79",,,,,,,,,,,,,,,
GCF_013267255.1_ASM1326725v1,Bacillus,cereus,FDAARGOS_799,"35,24","33,19","33,44",,,,,,,,,,,,,,,,,,,,
GCF_013267775.1_ASM1326777v1,Bacillus,cereus,FDAARGOS_797,"35,45","33,17",,,,,,,,,,,,,,,,,,,,,
GCF_013284455.2_ASM1328445v2,Bacillus,cereus,HD2.4,"35,38","32,64","34,64","28,45",,,,,,,,,,,,,,,,,,,
GCF_013394245.1_ASM1339424v1,Bacillus,cereus,H2,"35,27","34,51","34,78",,,,,,,,,,,,,,,,,,,,
GCF_016027015.1_ASM1602701v1,Bacillus,cereus,FDAARGOS_918,"35,44","32,17",,,,,,,,,,,,,,,,,,,,,
GCF_016774555.1_ASM1677455v1,Bacillus,cereus,21155,"35,25","32,09","34,55","30,75","35,56",,,,,,,,,,,,,,,,,,
GCF_016774575.1_ASM1677457v1,Bacillus,cereus,AFA01,"35,36","33,64","31,6","31,43","33,13",,,,,,,,,,,,,,,,,,
GCF_016917795.1_ASM1691779v1,Bacillus,cereus,VKM_B-370,"35,28","32,87","33,27","29,7",,,,,,,,,,,,,,,,,,,
GCF_018309125.1_ASM1830912v1,Bacillus,cereus,BC06,"35,42","31,28","30,91",,,,,,,,,,,,,,,,,,,,
GCF_018309145.1_ASM1830914v1,Bacillus,cereus,BC07,"35,43","33,15","34,56","37,01","35,4",,,,,,,,,,,,,,,,,,
GCF_018309165.1_ASM1830916v1,Bacillus,cereus,BC33,"35,4","32,68","36,71","32,58",,,,,,,,,,,,,,,,,,,
GCF_018884185.1_ASM1888418v1,Bacillus,cereus,CF4-51,"35,37","32,28","32,14","31,43",,,,,,,,,,,,,,,,,,,
GCF_019704155.2_ASM1970415v2,Bacillus,cereus,HT18,"35,36","33,4","31,6","31,43","32,14","33,13",,,,,,,,,,,,,,,,,
GCF_021391515.1_ASM2139151v1,Bacillus,cereus,CPT56D-587-MTF,"35,5","34,2","34,95","34,25","34,95","35,55","35,48","33,36","35,07",,,,,,,,,,,,,,
GCF_021442085.1_ASM2144208v1,Bacillus,cereus,NR1,"35,33","34,26",,,,,,,,,,,,,,,,,,,,,
GCF_021654875.1_ASM2165487v1,Bacillus,cereus,MRY14-0045,"35,31","33,38",,,,,,,,,,,,,,,,,,,,,
GCF_021654895.1_ASM2165489v1,Bacillus,cereus,MRY14-0057,"35,31","33,35","33,78",,,,,,,,,,,,,,,,,,,,
GCF_021654935.1_ASM2165493v1,Bacillus,cereus,MRY14-0074,"35,43","32,06","34,02","33,31","36,08","39,01","37,11","33,15",,,,,,,,,,,,,,,
GCF_021654975.1_ASM2165497v1,Bacillus,cereus,MRY14-0079,"35,32","33,36","33,04","33,78",,,,,,,,,,,,,,,,,,,
GCF_021654995.1_ASM2165499v1,Bacillus,cereus,MRY14-0100,"35,46","33,86","30,53","37,05",37,34,"33,1","32,37",,,,,,,,,,,,,,,
GCF_021655035.1_ASM2165503v1,Bacillus,cereus,J1,"35,34","33,67","31,95","31,25","32,52","33,04",,,,,,,,,,,,,,,,,
GCF_021655055.1_ASM2165505v1,Bacillus,cereus,J2,"35,47","34,1","33,11","31,76","29,04","35,94","32,06",,,,,,,,,,,,,,,,
GCF_021655135.1_ASM2165513v1,Bacillus,cereus,J7,"35,43","33,49","33,87","35,09","37,35","33,52","35,42","34,24","35,5","31,82","33,35","34,71",,,,,,,,,,,
GCF_021655155.1_ASM2165515v1,Bacillus,cereus,J10,"35,34","34,3","36,55","32,02","38,23","34,96",,,,,,,,,,,,,,,,,
GCF_021655175.1_ASM2165517v1,Bacillus,cereus,J39,"35,35","33,67","32,54","33,04",,,,,,,,,,,,,,,,,,,
GCF_021655195.1_ASM2165519v1,Bacillus,cereus,J51,"35,34","33,67","36,89","31,28","33,79","32,55","31,83","33,04",,,,,,,,,,,,,,,
GCF_021655215.1_ASM2165521v1,Bacillus,cereus,J62,"35,43","34,31",36,"32,04","34,43","33,35",,,,,,,,,,,,,,,,,
GCF_021655255.1_ASM2165525v1,Bacillus,cereus,30040,"35,34","33,78","32,52",,,,,,,,,,,,,,,,,,,,
GCF_021655295.1_ASM2165529v1,Bacillus,cereus,30048,"35,31","33,84","32,06","32,21","37,11",,,,,,,,,,,,,,,,,,
GCF_021655315.1_ASM2165531v1,Bacillus,cereus,30052,"35,42","34,22","33,36","32,43","29,89","30,07","33,61","37,11",,,,,,,,,,,,,,,
GCF_021655335.1_ASM2165533v1,Bacillus,cereus,30075,"35,24","36,16","35,01","33,78","32,51","33,04",,,,,,,,,,,,,,,,,
GCF_021655355.1_ASM2165535v1,Bacillus,cereus,30077,"35,34","34,21","36,36","33,78","32,52",,,,,,,,,,,,,,,,,,
GCF_022699365.1_ASM2269936v1,Bacillus,cereus,AH7-7,"35,36","33,67",,,,,,,,,,,,,,,,,,,,,
GCF_022700995.1_ASM2270099v1,Bacillus,cereus,N435-1,"35,23","32,44","32,29","32,39",,,,,,,,,,,,,,,,,,,
GCF_023008425.1_ASM2300842v1,Bacillus,cereus,SEM-15,"35,35","32,31","32,19","36,17","29,74",,,,,,,,,,,,,,,,,,
GCF_023094015.1_ASM2309401v1,Bacillus,cereus,CDHWZ7,"35,22","34,11","31,08",,,,,,,,,,,,,,,,,,,,
GCF_023516415.1_ASM2351641v1,Bacillus,cereus,DQ01,"35,3","33,69","37,1",,,,,,,,,,,,,,,,,,,,
GCF_024299105.1_ASM2429910v1,Bacillus,cereus,MB1,"35,36","33,44","35,35",,,,,,,,,,,,,,,,,,,,
GCF_024498915.1_ASM2449891v1,Bacillus,cereus,GSICC_30237,"35,27","35,54","30,06","30,26",,,,,,,,,,,,,,,,,,,
GCF_000017425.1_ASM1742v1,Bacillus,cytotoxicus,NVH_391-98,"35,88","30,26",,,,,,,,,,,,,,,,,,,,,
GCF_002250885.2_ASM225088v2,Bacillus,cytotoxicus,CH_38,"35,91","33,07","33,87",,,,,,,,,,,,,,,,,,,,
GCF_002250905.2_ASM225090v2,Bacillus,cytotoxicus,CH_25,"35,93","32,94","33,91",,,,,,,,,,,,,,,,,,,,
GCF_002250945.2_ASM225094v2,Bacillus,cytotoxicus,CH_13,"35,86","33,17",,,,,,,,,,,,,,,,,,,,,
GCF_017909015.1_ASM1790901v1,Bacillus,cytotoxicus,SM2.8,"35,87","30,4","31,88",,,,,,,,,,,,,,,,,,,,
GCF_017909135.1_ASM1790913v1,Bacillus,cytotoxicus,SM1.1,"35,89","34,86","34,69","30,4","31,87",,,,,,,,,,,,,,,,,,
GCF_017909235.1_ASM1790923v1,Bacillus,cytotoxicus,PDT2.12,"35,86","33,31",,,,,,,,,,,,,,,,,,,,,
GCF_017909295.1_ASM1790929v1,Bacillus,cytotoxicus,E28.3,"35,89","33,17","39,61","33,94","39,17",,,,,,,,,,,,,,,,,,
GCF_017909395.1_ASM1790939v1,Bacillus,cytotoxicus,E17.4,"35,9","31,96",,,,,,,,,,,,,,,,,,,,,
GCF_004103615.1_ASM410361v1,Bacillus,glycinifermentans,SRCM103574,"46,06","39,82",,,,,,,,,,,,,,,,,,,,,
GCF_002074095.1_ASM207409v1,Bacillus,licheniformis,SCDB_14,"46,27","36,49",,,,,,,,,,,,,,,,,,,,,
GCF_002173675.1_ASM217367v1,Bacillus,licheniformis,SRCM100141,"46,06","36,5","41,69",,,,,,,,,,,,,,,,,,,,
GCF_002174255.1_ASM217425v1,Bacillus,licheniformis,SRCM100027,"46,1","39,86","42,95",,,,,,,,,,,,,,,,,,,,
GCF_003595625.1_ASM359562v1,Bacillus,licheniformis,TAB7,"45,82","40,1","38,61",,,,,,,,,,,,,,,,,,,,
GCF_003606405.1_ASM360640v1,Bacillus,licheniformis,MT-B06,"45,7","39,36",,,,,,,,,,,,,,,,,,,,,
GCF_004101525.1_ASM410152v1,Bacillus,licheniformis,SRCM103914,"46,2","36,48","41,24",,,,,,,,,,,,,,,,,,,,
GCF_004103575.1_ASM410357v1,Bacillus,licheniformis,SRCM103529,"45,76","37,42",,,,,,,,,,,,,,,,,,,,,
GCF_009662395.1_ASM966239v1,Bacillus,licheniformis,P8_B2,"45,83","40,95",,,,,,,,,,,,,,,,,,,,,
GCF_016026835.1_ASM1602683v1,Bacillus,licheniformis,FDAARGOS_923,"45,75","41,44","38,24","40,53","41,35",,,,,,,,,,,,,,,,,,
GCF_016126875.1_ASM1612687v1,Bacillus,licheniformis,H2,"46,25","55,12","54,01",,,,,,,,,,,,,,,,,,,,
GCF_009739945.1_ASM973994v1,Bacillus,luti,FJ,"35,74","33,7","33,06","36,17",,,,,,,,,,,,,,,,,,,
GCF_000724485.1_ASM72448v1,Bacillus,methanolicus,MGA3,"38,66","35,8","36,69",,,,,,,,,,,,,,,,,,,,
GCF_023278615.1_ASM2327861v1,Bacillus,methanolicus,DFS2,"38,67","36,56",,,,,,,,,,,,,,,,,,,,,
GCF_000832605.1_ASM83260v1,Bacillus,mycoides,ATCC_6462,"35,49","33,92","31,4","32,64",,,,,,,,,,,,,,,,,,,
GCF_002104575.1_ASM210457v1,Bacillus,mycoides,Gnyt1,"35,57","32,81","34,44","32,86","33,64","32,13","35,49","36,52","31,13",,,,,,,,,,,,,,
GCF_008274925.1_ASM827492v1,Bacillus,mycoides,BPN401,"35,6","33,68","37,02","34,84","30,21","35,19","29,27",,,,,,,,,,,,,,,,
GCF_018736705.1_ASM1873670v1,Bacillus,mycoides,BPN03/1,"35,71","34,06","33,07","32,72","32,44","32,17","31,86","32,77","35,05",,,,,,,,,,,,,,
GCF_018736725.1_ASM1873672v1,Bacillus,mycoides,BPN07/3,"35,71","32,99","33,61",,,,,,,,,,,,,,,,,,,,
