Superkingdom,Clade1,Clade2,Phylum,Class,Order,Family,No rank,Genome_Accession,Genus,Species,Strain,Chromosome,Replicon_1,Replicon_2,Replicon_3,Replicon_4,Replicon_5,Replicon_6,Replicon_7,Replicon_8,Replicon_9,Replicon_10,Replicon_11,Replicon_12,Replicon_13,Replicon_14,Replicon_15,Replicon_16,Replicon_17,Replicon_18,Replicon_19,Replicon_20,Replicon_21,Replicon_22,Total_length
Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella/Ochrobactrum group,GCF_003290345.1_ASM329034v1,Brucella,abortus,A19,2123997,1162170,,,,,,,,,,,,,,,,,,,,,,3286167_total
Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella/Ochrobactrum group,GCF_003675365.1_ASM367536v1,Brucella,abortus,BJ1,2115149,1155435,,,,,,,,,,,,,,,,,,,,,,3270584_total
Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella/Ochrobactrum group,GCF_008761575.1_ASM876157v1,Brucella,abortus,clpP,2119633,1158833,,,,,,,,,,,,,,,,,,,,,,3278466_total
Bacteria,,,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,GCF_004063735.1_ASM406373v1,Paracoccus,denitrificans,ATCC_19367,2858426,1730087,653814,,,,,,,,,,,,,,,,,,,,,5242327_total
Bacteria,,,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,GCF_023238405.1_ASM2323840v1,Paracoccus,denitrificans,DYTN-1,2853092,1730123,653817,,,,,,,,,,,,,,,,,,,,,5237032_total
Bacteria,,,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,,GCF_002374815.1_ASM237481v1,Pseudoalteromonas,atlantica,ECSMB14104,3669595,,,,,,,,,,,,,,,,,,,,,,,3669595_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_000755805.1_ASM75580v1,Burkholderia,cepacia,DDS_7H-2,3760231,3206581,1180302,,,,,,,,,,,,,,,,,,,,,8147114_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_001718395.1_ASM171839v1,Burkholderia,cepacia,INT3-BP177,3728457,3608925,,,,,,,,,,,,,,,,,,,,,,7337382_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_001718835.1_ASM171883v1,Burkholderia,cepacia,MSMB1184WGS,3750729,3417004,835898,,,,,,,,,,,,,,,,,,,,,8003631_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_002209085.2_ASM220908v2,Burkholderia,cepacia,FDAARGOS_345,3779906,3397795,1187984,204169,,,,,,,,,,,,,,,,,,,,8569854_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_002407525.2_ASM240752v3,Burkholderia,cepacia,FDAARGOS_388,3779890,3397791,1187978,204165,,,,,,,,,,,,,,,,,,,,8569824_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_009586235.1_ASM958623v1,Burkholderia,cepacia,BC16,3688624,3430130,1248114,,,,,,,,,,,,,,,,,,,,,8366868_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_014854795.1_ASM1485479v1,Burkholderia,cepacia,39628,3683734,3415325,1304848,,,,,,,,,,,,,,,,,,,,,8403907_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_021484945.1_ASM2148494v1,Burkholderia,cepacia,CMCC(B)23005,3739938,3474201,1422512,,,,,,,,,,,,,,,,,,,,,8636651_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_023053515.1_ASM2305351v1,Burkholderia,cepacia,BRDJ,3808121,3539936,1397783,,,,,,,,,,,,,,,,,,,,,8745840_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_023374475.1_ASM2337447v1,Burkholderia,cepacia,2017Y70952565VI,4997612,3501858,,,,,,,,,,,,,,,,,,,,,,8499470_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_023374675.1_ASM2337467v1,Burkholderia,cepacia,2011Ycf793I,3639129,3516028,1358651,,,,,,,,,,,,,,,,,,,,,8513808_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_023374715.1_ASM2337471v1,Burkholderia,cepacia,2011Ycf427V,3639150,3504726,1358664,,,,,,,,,,,,,,,,,,,,,8502540_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_904865725.1_MINF_4A,Burkholderia,cepacia,,3799937,3006131,1023737,114206,,,,,,,,,,,,,,,,,,,,7944011_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_001299555.1_ASM129955v1,Ralstonia,solanacearum,UY031,3412138,1999545,,,,,,,,,,,,,,,,,,,,,,5411683_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_001586135.1_ASM158613v1,Ralstonia,solanacearum,KACC_10722,3579824,1883432,,,,,,,,,,,,,,,,,,,,,,5463256_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_001587135.1_ASM158713v1,Ralstonia,solanacearum,UW163,3509932,1932001,116523,37782,,,,,,,,,,,,,,,,,,,,5596238_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_001587155.1_ASM158715v1,Ralstonia,solanacearum,IBSBF1503,3460461,2069788,,,,,,,,,,,,,,,,,,,,,,5530249_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_001663415.1_ASM166341v1,Ralstonia,solanacearum,YC40-M,3844764,1907366,,,,,,,,,,,,,,,,,,,,,,5752130_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_001708525.1_ASM170852v1,Ralstonia,solanacearum,KACC10709,3462505,2145732,,,,,,,,,,,,,,,,,,,,,,5608237_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_001891105.1_ASM189110v1,Ralstonia,solanacearum,EP1,3949527,2093441,,,,,,,,,,,,,,,,,,,,,,6042968_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_002162015.1_ASM216201v1,Ralstonia,solanacearum,SEPPX05,3930849,2066085,,,,,,,,,,,,,,,,,,,,,,5996934_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_002220465.1_ASM222046v1,Ralstonia,solanacearum,CQPS-1,3832354,2061090,,,,,,,,,,,,,,,,,,,,,,5893444_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_002501565.1_ASM250156v1,Ralstonia,solanacearum,RS_488,3412138,1999547,,,,,,,,,,,,,,,,,,,,,,5411685_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_002549815.1_ASM254981v1,Ralstonia,solanacearum,RS_489,3411957,1999547,,,,,,,,,,,,,,,,,,,,,,5411504_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_002894285.1_ASM289428v1,Ralstonia,solanacearum,RSCM,3788542,2212170,,,,,,,,,,,,,,,,,,,,,,6000712_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_003515145.1_ASM351514v1,Ralstonia,solanacearum,T51,3517093,1883756,,,,,,,,,,,,,,,,,,,,,,5400849_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_003515165.1_ASM351516v1,Ralstonia,solanacearum,T11,3566822,1883805,,,,,,,,,,,,,,,,,,,,,,5450627_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_003515185.1_ASM351518v1,Ralstonia,solanacearum,SL3175,3569709,1986284,,,,,,,,,,,,,,,,,,,,,,5555993_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_003515205.1_ASM351520v1,Ralstonia,solanacearum,SL3103,3483386,2134747,,,,,,,,,,,,,,,,,,,,,,5618133_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_003515225.1_ASM351522v1,Ralstonia,solanacearum,SL2330,3672745,2001855,,,,,,,,,,,,,,,,,,,,,,5674600_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_003515245.1_ASM351524v1,Ralstonia,solanacearum,T117,3745577,2061886,,,,,,,,,,,,,,,,,,,,,,5807463_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_003515265.1_ASM351526v1,Ralstonia,solanacearum,T98,3569696,1986282,,,,,,,,,,,,,,,,,,,,,,5555978_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_003515285.1_ASM351528v1,Ralstonia,solanacearum,T78,3955538,2063152,128742,,,,,,,,,,,,,,,,,,,,,6147432_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_003515325.1_ASM351532v1,Ralstonia,solanacearum,T12,3532612,1988373,,,,,,,,,,,,,,,,,,,,,,5520985_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_003515345.1_ASM351534v1,Ralstonia,solanacearum,SL3755,3786687,2006167,,,,,,,,,,,,,,,,,,,,,,5792854_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_003515365.1_ASM351536v1,Ralstonia,solanacearum,SL3730,3716376,1969688,,,,,,,,,,,,,,,,,,,,,,5686064_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_003515405.1_ASM351540v1,Ralstonia,solanacearum,SL2729,3714282,1989056,,,,,,,,,,,,,,,,,,,,,,5703338_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_003515425.1_ASM351542v1,Ralstonia,solanacearum,SL2312,3532889,1988567,,,,,,,,,,,,,,,,,,,,,,5521456_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_003515445.1_ASM351544v1,Ralstonia,solanacearum,SL2064,3589215,1884392,,,,,,,,,,,,,,,,,,,,,,5473607_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_003515485.1_ASM351548v1,Ralstonia,solanacearum,T101,3532837,1988531,,,,,,,,,,,,,,,,,,,,,,5521368_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_003515505.1_ASM351550v1,Ralstonia,solanacearum,T95,3590102,1884412,,,,,,,,,,,,,,,,,,,,,,5474514_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_003515525.1_ASM351552v1,Ralstonia,solanacearum,T82,3532888,1988569,,,,,,,,,,,,,,,,,,,,,,5521457_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_003515545.1_ASM351554v1,Ralstonia,solanacearum,T60,3944067,2071487,,,,,,,,,,,,,,,,,,,,,,6015554_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_003515565.1_ASM351556v1,Ralstonia,solanacearum,T42,3716587,1781111,,,,,,,,,,,,,,,,,,,,,,5497698_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_003515585.1_ASM351558v1,Ralstonia,solanacearum,SL3882,3942912,2082957,,,,,,,,,,,,,,,,,,,,,,6025869_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_003515605.1_ASM351560v1,Ralstonia,solanacearum,SL3822,3837023,2134808,,,,,,,,,,,,,,,,,,,,,,5971831_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_003515625.1_ASM351562v1,Ralstonia,solanacearum,SL3300,3870145,2033766,,,,,,,,,,,,,,,,,,,,,,5903911_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_003590605.1_ASM359060v1,Ralstonia,solanacearum,IBSBF_2571,3480799,1949116,,,,,,,,,,,,,,,,,,,,,,5429915_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_003999715.1_ASM399971v1,Ralstonia,solanacearum,HA4-1,3890347,1947245,143755,,,,,,,,,,,,,,,,,,,,,5981347_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_006088755.1_ASM608875v1,Ralstonia,solanacearum,UW386,3658282,1830097,,,,,,,,,,,,,,,,,,,,,,5488379_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_011290405.1_ASM1129040v1,Ralstonia,solanacearum,B2,3827697,2092665,,,,,,,,,,,,,,,,,,,,,,5920362_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_011290425.1_ASM1129042v1,Ralstonia,solanacearum,204,3806317,2020823,,,,,,,,,,,,,,,,,,,,,,5827140_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_011290445.1_ASM1129044v1,Ralstonia,solanacearum,203,3806317,2013884,,,,,,,,,,,,,,,,,,,,,,5820201_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_011290465.1_ASM1129046v1,Ralstonia,solanacearum,202,3806317,2020199,,,,,,,,,,,,,,,,,,,,,,5826516_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_012562465.1_ASM1256246v1,Ralstonia,solanacearum,CIAT_078,3481951,1907373,,,,,,,,,,,,,,,,,,,,,,5389324_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_013306015.1_ASM1330601v1,Ralstonia,solanacearum,FJAT91.F50,3873222,2000885,,,,,,,,,,,,,,,,,,,,,,5874107_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_013306095.1_ASM1330609v1,Ralstonia,solanacearum,FJAT454.F1,3944010,2074832,,,,,,,,,,,,,,,,,,,,,,6018842_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_013306155.1_ASM1330615v1,Ralstonia,solanacearum,FJAT448.F50,3943689,2074622,,,,,,,,,,,,,,,,,,,,,,6018311_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_013306205.1_ASM1330620v1,Ralstonia,solanacearum,FJAT448.F1,3944010,2074757,,,,,,,,,,,,,,,,,,,,,,6018767_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_013306235.1_ASM1330623v1,Ralstonia,solanacearum,FJAT445.F50,3702722,1981426,,,,,,,,,,,,,,,,,,,,,,5684148_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_013306255.1_ASM1330625v1,Ralstonia,solanacearum,FJAT445.F1,3702664,1982075,,,,,,,,,,,,,,,,,,,,,,5684739_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_013306275.1_ASM1330627v1,Ralstonia,solanacearum,FJAT442.F50,3703018,1981451,,,,,,,,,,,,,,,,,,,,,,5684469_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_013306295.1_ASM1330629v1,Ralstonia,solanacearum,FJAT442.F1,3703016,1981451,,,,,,,,,,,,,,,,,,,,,,5684467_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_013306315.1_ASM1330631v1,Ralstonia,solanacearum,FJAT15353.F8,3854515,1975650,,,,,,,,,,,,,,,,,,,,,,5830165_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_013306335.1_ASM1330633v1,Ralstonia,solanacearum,FJAT15353.F50,3854510,1975963,,,,,,,,,,,,,,,,,,,,,,5830473_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_013306355.1_ASM1330635v1,Ralstonia,solanacearum,FJAT15353.F1,3854510,1974854,,,,,,,,,,,,,,,,,,,,,,5829364_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_013306375.1_ASM1330637v1,Ralstonia,solanacearum,FJAT15340.F50,3669429,2053891,,,,,,,,,,,,,,,,,,,,,,5723320_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_013306395.1_ASM1330639v1,Ralstonia,solanacearum,FJAT15340.F6,3669421,2053896,,,,,,,,,,,,,,,,,,,,,,5723317_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_013306415.1_ASM1330641v1,Ralstonia,solanacearum,FJAT15340.F1,3669428,2053891,,,,,,,,,,,,,,,,,,,,,,5723319_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_013306435.1_ASM1330643v1,Ralstonia,solanacearum,FJAT15304.F6,3669431,2053891,,,,,,,,,,,,,,,,,,,,,,5723322_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_013306455.1_ASM1330645v1,Ralstonia,solanacearum,FJAT15304.F1,3669425,2053891,,,,,,,,,,,,,,,,,,,,,,5723316_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_013306475.1_ASM1330647v1,Ralstonia,solanacearum,FJAT15304.F50,3669429,2053891,,,,,,,,,,,,,,,,,,,,,,5723320_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_013306495.1_ASM1330649v1,Ralstonia,solanacearum,FJAT15252.F50,3984237,2075688,,,,,,,,,,,,,,,,,,,,,,6059925_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_013306515.1_ASM1330651v1,Ralstonia,solanacearum,FJAT15252.F1,3984186,2075540,,,,,,,,,,,,,,,,,,,,,,6059726_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_013306545.1_ASM1330654v1,Ralstonia,solanacearum,FJAT15249.F50,3984230,2075635,,,,,,,,,,,,,,,,,,,,,,6059865_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_013306575.1_ASM1330657v1,Ralstonia,solanacearum,FJAT15249.F1,3984112,2075656,,,,,,,,,,,,,,,,,,,,,,6059768_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_013306655.1_ASM1330665v1,Ralstonia,solanacearum,FJAT15244.F50,3789233,2134027,,,,,,,,,,,,,,,,,,,,,,5923260_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_013306745.1_ASM1330674v1,Ralstonia,solanacearum,FJAT15244.F1,3788096,2134027,,,,,,,,,,,,,,,,,,,,,,5922123_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_013306765.1_ASM1330676v1,Ralstonia,solanacearum,FJAT1463.F50,3984235,2075660,,,,,,,,,,,,,,,,,,,,,,6059895_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_013306785.1_ASM1330678v1,Ralstonia,solanacearum,FJAT1458.F50,3984236,2075489,,,,,,,,,,,,,,,,,,,,,,6059725_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_013306805.1_ASM1330680v1,Ralstonia,solanacearum,FJAT1463.F1,3984235,2075666,,,,,,,,,,,,,,,,,,,,,,6059901_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_013306825.1_ASM1330682v1,Ralstonia,solanacearum,FJAT1458.F1,3984237,2075666,,,,,,,,,,,,,,,,,,,,,,6059903_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_013306845.1_ASM1330684v1,Ralstonia,solanacearum,FJAT1452.F50,3703016,1981451,,,,,,,,,,,,,,,,,,,,,,5684467_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_013306875.1_ASM1330687v1,Ralstonia,solanacearum,FJAT1452.F1,3703014,1981451,,,,,,,,,,,,,,,,,,,,,,5684465_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_013306915.1_ASM1330691v1,Ralstonia,solanacearum,FJAT1303.F8,3854502,1975962,,,,,,,,,,,,,,,,,,,,,,5830464_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_013306935.1_ASM1330693v1,Ralstonia,solanacearum,FJAT1303.F50,3854510,1975651,,,,,,,,,,,,,,,,,,,,,,5830161_total
Bacteria,,,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,,GCF_013306955.1_ASM1330695v1,Ralstonia,solanacearum,FJAT1303.F1,3649900,2051206,,,,,,,,,,,,,,,,,,,,,,5701106_total
