,Superkingdom,Clade1,Clade2,Phylum,Class,Order,Family,No rank,Genome_Accession,Genus,Species,Strain,Chromosome,Replicon_1,Replicon_2,Replicon_3,Replicon_4,Replicon_5,Replicon_6,Replicon_7,Replicon_8,Replicon_9,Replicon_10,Replicon_11,Replicon_12,Replicon_13,Replicon_14,Replicon_15,Replicon_16,Replicon_17,Replicon_18,Replicon_19,Replicon_20,Replicon_21,Replicon_22,Total_length
158,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_005221425.1_ASM522142v1,Agrobacterium,tumefaciens,CFBP6624,2953857,2088590.0,483570.0,,,,,,,,,,,,,,,,,,,,,5526017_total
160,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_014489975.1_ASM1448997v1,Agrobacterium,tumefaciens,BIM_B-1315G,2922353,2187309.0,,,,,,,,,,,,,,,,,,,,,,5109662_total
163,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_022760295.1_ASM2276029v1,Agrobacterium,tumefaciens,LN-1,2908638,2260658.0,233332.0,183666.0,,,,,,,,,,,,,,,,,,,,5586294_total
4811,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_021310975.1_ASM2131097v1,Agrobacterium,vaccinii,B19.1.4,3078406,1701291.0,218909.0,135032.0,,,,,,,,,,,,,,,,,,,,5133638_total
4812,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_021310995.1_ASM2131099v1,Agrobacterium,vaccinii,B7.6,3136624,1557722.0,178559.0,,,,,,,,,,,,,,,,,,,,,4872905_total
167,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_013426715.1_ASM1342671v1,Agrobacterium,vitis,VAT03-9,3717176,1132123.0,609097.0,371025.0,257173.0,88753.0,48286.0,,,,,,,,,,,,,,,,,6223633_total
168,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_013426735.1_ASM1342673v1,Agrobacterium,vitis,VAR06-30,3769447,1162882.0,409071.0,309504.0,96407.0,88752.0,46112.0,,,,,,,,,,,,,,,,,5882175_total
169,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_013427035.1_ASM1342703v1,Agrobacterium,vitis,VAR03-1,3604775,1156266.0,648626.0,161351.0,,,,,,,,,,,,,,,,,,,,5571018_total
170,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_019797885.1_ASM1979788v1,Agrobacterium,vitis,F2/5,3663811,1185416.0,436826.0,204449.0,200742.0,150180.0,98206.0,,,,,,,,,,,,,,,,,5939630_total
171,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_021559735.1_ASM2155973v1,Agrobacterium,vitis,CG412,3898818,1142166.0,266885.0,,,,,,,,,,,,,,,,,,,,,5307869_total
172,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_021559755.1_ASM2155975v1,Agrobacterium,vitis,CG678,3745902,1128071.0,514751.0,370902.0,258841.0,,,,,,,,,,,,,,,,,,,6018467_total
3113,Bacteria,,,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,GCF_000016285.1_ASM1628v1,Agrobacterium,vitis,S4,3726375,1283187.0,631775.0,258824.0,211620.0,130435.0,78730.0,,,,,,,,,,,,,,,,,6320946_total
0,Bacteria,,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,,GCF_000632475.1_ASM63247v2,Azospirillum,argentinense,Az39,3064393,1901707.0,933960.0,686487.0,641573.0,163159.0,,,,,,,,,,,,,,,,,,7391279_total
1,Bacteria,,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,,GCF_001315015.1_ASM131501v1,Azospirillum,brasilense,Sp_7,3005726,1754523.0,819020.0,645064.0,206714.0,156480.0,,,,,,,,,,,,,,,,,,6587527_total
3,Bacteria,,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,,GCF_005222165.1_ASM522216v1,Azospirillum,brasilense,MTCC4035,3007928,1930550.0,951667.0,699612.0,651598.0,361462.0,163663.0,162176.0,,,,,,,,,,,,,,,,7928656_total
7,Bacteria,,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,,GCF_022023855.1_ASM2202385v1,Azospirillum,brasilense,2020WEIHUA_K,2810413,2048375.0,863243.0,753426.0,642990.0,181142.0,71090.0,19138.0,,,,,,,,,,,,,,,,7389817_total
3789,Bacteria,,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,,GCF_000283655.1_ASM28365v1,Azospirillum,lipoferum,4B,2988332,1040425.0,750123.0,648491.0,645253.0,478032.0,295744.0,,,,,,,,,,,,,,,,,6846400_total
3063,Bacteria,,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,,GCF_013347285.1_ASM1334728v1,Azospirillum,oryzae,KACC_14407,2801374,1118090.0,728493.0,668146.0,443879.0,426158.0,318077.0,305146.0,,,,,,,,,,,,,,,,6809363_total
3716,Bacteria,,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,,GCF_003233655.1_ASM323365v1,Azospirillum,ramasamyi,M2T2B2,2705409,919301.0,686098.0,644647.0,544602.0,437884.0,290341.0,87981.0,,,,,,,,,,,,,,,,6316263_total
2847,Bacteria,,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,,GCF_000010725.1_ASM1072v1,Azospirillum,sp.,B510,3311395,1455109.0,723779.0,681723.0,628837.0,537299.0,261596.0,,,,,,,,,,,,,,,,,7599738_total
3692,Bacteria,,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,,GCF_004923295.1_ASM492329v1,Azospirillum,sp.,TSH100,2712114,1162302.0,917252.0,912147.0,583445.0,498809.0,325924.0,54389.0,,,,,,,,,,,,,,,,7166382_total
3707,Bacteria,,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,,GCF_003119115.1_ASM311911v1,Azospirillum,sp.,TSH58,3020351,1910929.0,836998.0,660876.0,568757.0,200555.0,45608.0,,,,,,,,,,,,,,,,,7244074_total
3747,Bacteria,,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,,GCF_004923315.1_ASM492331v1,Azospirillum,sp.,TSA2S,2804606,927212.0,903871.0,855324.0,682730.0,583836.0,533779.0,353832.0,351631.0,105657.0,,,,,,,,,,,,,,8102478_total
4572,Bacteria,,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,,GCF_003130795.1_ASM313079v1,Azospirillum,thermophilum,CFH_70021,2538983,1351902.0,882608.0,672413.0,605262.0,405625.0,186821.0,77812.0,54887.0,,,,,,,,,,,,,,,6776313_total
3578,Bacteria,,,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Azospirillaceae,,GCF_001305595.1_ASM130559v1,Azospirillum,thiophilum,BV-S,3037424,1354909.0,878428.0,712512.0,694460.0,518276.0,330423.0,83026.0,,,,,,,,,,,,,,,,7609458_total
4514,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_009740005.1_ASM974000v1,Bacillus,albus,DLOU-Yingkou,5298275,501998.0,55332.0,,,,,,,,,,,,,,,,,,,,,5855605_total
3072,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_001191605.1_ASM119160v1,Bacillus,altitudinis,GR-8,3674849,6935.0,,,,,,,,,,,,,,,,,,,,,,3681784_total
3077,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002443015.2_ASM244301v2,Bacillus,altitudinis,SGAir0031,3812575,32220.0,,,,,,,,,,,,,,,,,,,,,,3844795_total
3080,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_005849435.1_ASM584943v1,Bacillus,altitudinis,GQYP101,3880448,10920.0,,,,,,,,,,,,,,,,,,,,,,3891368_total
3081,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_006007905.1_ASM600790v1,Bacillus,altitudinis,HQ-51-Ba,3701797,7206.0,7089.0,,,,,,,,,,,,,,,,,,,,,3716092_total
3086,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_016807685.1_ASM1680768v1,Bacillus,altitudinis,63-2-2,3772571,8597.0,,,,,,,,,,,,,,,,,,,,,,3781168_total
3097,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_024380035.1_ASM2438003v1,Bacillus,altitudinis,B12,3765315,60381.0,,,,,,,,,,,,,,,,,,,,,,3825696_total
944,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_001483885.1_ASM148388v1,Bacillus,amyloliquefaciens,MBE1283,3966922,13003.0,,,,,,,,,,,,,,,,,,,,,,3979925_total
945,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_001586105.1_ASM158610v1,Bacillus,amyloliquefaciens,S499,3927922,8008.0,,,,,,,,,,,,,,,,,,,,,,3935930_total
951,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002173635.1_ASM217363v1,Bacillus,amyloliquefaciens,SRCM101267,4070574,17666.0,,,,,,,,,,,,,,,,,,,,,,4088240_total
956,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_003312895.1_ASM331289v1,Bacillus,amyloliquefaciens,SH-B74,4042190,61634.0,,,,,,,,,,,,,,,,,,,,,,4103824_total
968,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_013341255.1_ASM1334125v1,Bacillus,amyloliquefaciens,R8-25,4010543,5685.0,,,,,,,,,,,,,,,,,,,,,,4016228_total
972,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_014854735.1_ASM1485473v1,Bacillus,amyloliquefaciens,HM618,4021851,15179.0,,,,,,,,,,,,,,,,,,,,,,4037030_total
976,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_017603845.1_ASM1760384v1,Bacillus,amyloliquefaciens,XJ5,4160003,215881.0,63621.0,,,,,,,,,,,,,,,,,,,,,4439505_total
981,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_019396925.1_ASM1939692v1,Bacillus,amyloliquefaciens,GKT04,4056188,93502.0,,,,,,,,,,,,,,,,,,,,,,4149690_total
988,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_021233135.1_ASM2123313v1,Bacillus,amyloliquefaciens,LS1-002-014s,4214996,7410.0,,,,,,,,,,,,,,,,,,,,,,4222406_total
994,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_023278425.1_ASM2327842v1,Bacillus,amyloliquefaciens,CQN-2,3929751,161917.0,,,,,,,,,,,,,,,,,,,,,,4091668_total
3846,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_000204275.1_ASM20427v1,Bacillus,amyloliquefaciens,LL3,3995227,6758.0,,,,,,,,,,,,,,,,,,,,,,4001985_total
998,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_000534935.2_ASM53493v2,Bacillus,anthracis,CZC5,5219278,181607.0,94802.0,,,,,,,,,,,,,,,,,,,,,5495687_total
1000,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_000742655.1_ASM74265v1,Bacillus,anthracis,2000031021,5236981,94756.0,,,,,,,,,,,,,,,,,,,,,,5331737_total
1001,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_000832425.1_ASM83242v1,Bacillus,anthracis,PAK-1,5221627,181754.0,,,,,,,,,,,,,,,,,,,,,,5403381_total
1030,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002277915.1_ASM227791v1,Bacillus,anthracis,14RA5914,5245242,198129.0,103124.0,,,,,,,,,,,,,,,,,,,,,5546495_total
1035,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_003410355.1_ASM341035v1,Bacillus,anthracis,MCCC_1A01412,5291783,68426.0,12684.0,,,,,,,,,,,,,,,,,,,,,5372893_total
1041,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_009806635.1_ASM980663v1,Bacillus,anthracis,FDAARGOS_700,5227419,1988.0,1381.0,1345.0,1146.0,,,,,,,,,,,,,,,,,,,5233279_total
1042,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_009806655.1_ASM980665v1,Bacillus,anthracis,FDAARGOS_706,5227454,1294.0,1174.0,,,,,,,,,,,,,,,,,,,,,5229922_total
1043,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_009806675.1_ASM980667v1,Bacillus,anthracis,FDAARGOS_705,5227452,2622.0,1570.0,1505.0,,,,,,,,,,,,,,,,,,,,5233149_total
1082,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_023824055.1_ASM2382405v1,Bacillus,anthracis,CMF9,5324354,296261.0,62151.0,49390.0,,,,,,,,,,,,,,,,,,,,5732156_total
1501,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_020002245.1_ASM2000224v1,Bacillus,badius,NBPM-293,3868812,395960.0,8202.0,5458.0,5007.0,3841.0,1768.0,,,,,,,,,,,,,,,,,4289048_total
3700,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_023824075.1_ASM2382407v1,Bacillus,bombysepticus,F12,5244749,530756.0,95271.0,,,,,,,,,,,,,,,,,,,,,5870776_total
4127,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_000831065.1_ASM83106v1,Bacillus,bombysepticus,Wang,5295783,577809.0,,,,,,,,,,,,,,,,,,,,,,5873592_total
1085,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_003595605.1_ASM359560v1,Bacillus,caldolyticus,NEB414,3457580,28002.0,,,,,,,,,,,,,,,,,,,,,,3485582_total
1086,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_000635895.2_ASM63589v2,Bacillus,cereus,A1,5352307,300156.0,70374.0,11778.0,,,,,,,,,,,,,,,,,,,,5734615_total
1087,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_000789315.1_ASM78931v1,Bacillus,cereus,03BB87,5457398,209381.0,52166.0,,,,,,,,,,,,,,,,,,,,,5718945_total
1088,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_000832525.1_ASM83252v1,Bacillus,cereus,FM1,5295158,402605.0,,,,,,,,,,,,,,,,,,,,,,5697763_total
1089,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_000832765.1_ASM83276v1,Bacillus,cereus,3a,5270991,312478.0,51531.0,7300.0,,,,,,,,,,,,,,,,,,,,5642300_total
1092,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_001277915.1_ASM127791v1,Bacillus,cereus,NJ-W,5370032,11744.0,9032.0,7703.0,,,,,,,,,,,,,,,,,,,,5398511_total
1093,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_001518875.1_ASM151887v1,Bacillus,cereus,FORC_013,5418913,259749.0,,,,,,,,,,,,,,,,,,,,,,5678662_total
1094,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_001635915.1_ASM163591v1,Bacillus,cereus,CMCC_P0021,5521782,591110.0,,,,,,,,,,,,,,,,,,,,,,6112892_total
1096,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_001635995.1_ASM163599v1,Bacillus,cereus,HN001,5404176,435420.0,141238.0,,,,,,,,,,,,,,,,,,,,,5980834_total
1098,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_001880305.1_ASM188030v1,Bacillus,cereus,AR156,5160326,459971.0,40712.0,10789.0,,,,,,,,,,,,,,,,,,,,5671798_total
1099,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_001941885.1_ASM194188v1,Bacillus,cereus,ISSFR-9F,5243376,97634.0,,,,,,,,,,,,,,,,,,,,,,5341010_total
1102,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002000005.1_ASM200000v1,Bacillus,cereus,FORC021,5331694,41600.0,,,,,,,,,,,,,,,,,,,,,,5373294_total
1104,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002214725.1_ASM221472v1,Bacillus,cereus,M3,5218997,229356.0,,,,,,,,,,,,,,,,,,,,,,5448353_total
1106,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002215175.1_ASM221517v1,Bacillus,cereus,K8,5329684,319570.0,71854.0,,,,,,,,,,,,,,,,,,,,,5721108_total
1107,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002216125.1_ASM221612v1,Bacillus,cereus,M13,5498820,87088.0,11745.0,3088.0,,,,,,,,,,,,,,,,,,,,5600741_total
1108,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002220285.1_ASM222028v1,Bacillus,cereus,FORC_047,5365433,257708.0,213830.0,,,,,,,,,,,,,,,,,,,,,5836971_total
1109,Bacteria,Terrabacteria group,,Firmicutes,Bacilli,Bacillales,Bacillaceae,,GCF_002290105.1_ASM229010v1,Bacillus,cereus,CC-1,5279524,13115.0,7375.0,5374.0,2931.0,,,,,,,,,,,,,,,,,,,5308319_total
